Honolulu,"355,077"
East Honolulu,"51,225"
Waipahu,"45,066"
Pearl City,"44,575"
Hilo,"44,462"
Kailua,"41,078"
Kaneohe,"38,279"
Kahului,"28,783"
Mililani Town,"28,268"
Ewa Gentry,"26,613"
Kapolei,"23,277"
Kailua,"22,035"
Kihei,"21,585"
Mililani Mauka,"21,087"
Makakilo,"20,366"
Wahiawa,"18,910"
Wailuku,"18,411"
Ocean Pointe,"16,945"
Ewa Beach,"16,853"
Hawaiian Paradise Park,"16,022"
Halawa,"15,316"
Royal Kunia,"15,007"
Schofield Barracks,"14,463"
Waimalu,"13,844"
Waianae,"13,746"
Lahaina,"13,002"
Waipio,"12,205"
Maili,"12,150"
Nanakuli,"12,054"
Kapaa,"11,937"
Aiea,"10,729"
Makaha,"10,408"
Waimea,"10,111"
Waihee-Waiehu,"9,351"
Ahuimanu,"9,017"
Haiku-Pauwela,"8,739"
Pukalani,"8,515"
Lihue,"8,469"
Ewa Villages,"8,341"
Hickam Housing,"7,779"
Waikele,"7,518"
Makawao,"7,330"
Waikoloa Village,"7,326"
Kula,"7,089"
Napili-Honokowai,"6,976"
Waimanalo,"6,240"
Wailua Homesteads,"6,067"
Wailea,"6,054"
Laie,"5,909"
Waipio Acres,"5,621"
West Loch Estate,"5,535"
Kahaluu,"5,391"
Hanamaulu,"5,342"
Pupukea,"5,304"
Haleiwa,"5,232"
Kahaluu-Keauhou,"5,147"
Kalaheo,"5,116"
Heeia,"5,013"
Whitmore Village,"5,004"
Hawaiian Ocean View,"4,993"
Waimanalo Beach,"4,925"
Iroquois Point,"4,903"
Mountain View,"4,302"
Waialua,"4,122"
Hauula,"3,979"
Hawaiian Beaches,"3,886"
Ainaloa,"3,801"
Kekaha,"3,769"
Hawaiian Acres,"3,645"
Waikapu,"3,578"
Puhi,"3,521"
Kaunakakai,"3,416"
Lanai City,"3,401"
Orchidlands Estates,"3,270"
Cain Cook,"3,199"
Kilauea,"3,077"
Kalaeloa,"3,060"
Kahuku,"2,924"
Kurtistown,"2,881"
Honokaa,"2,831"
Hanapepe,"2,690"
Wheeler AFB,"2,646"
Lawai,"2,644"
Hawi,"2,625"
Eleele,"2,551"
Paia,"2,410"
Kealakekua,"2,394"
Wailua,"2,389"
Keokea,"2,376"
Honaunau-Napoopoo,"2,371"
Koloa,"2,258"
Anahola,"2,249"
Princeville,"2,157"
Kualapuu,"2,134"
Waimea,"2,117"
Fern Acres,"2,103"
Kapaau,"2,089"
Ko Olina,"2,059"
Maunawili,"2,023"
Pepeekeo,"1,838"
Mokuleia,"1,816"
Nanawale Estates,"1,721"
Hana,"1,613"
Eden Roc,"1,518"
Punaluu,"1,437"
Kaaawa,"1,433"
Pahala,"1,418"
Poipu,"1,395"
Omao,"1,358"
Holualoa,"1,332"
Laupahoehoe,"1,318"
Discovery Harbour,"1,237"
Olinda,"1,218"
Fern Forest,"1,216"
Kaanapali,"1,197"
Wainaku,"1,123"
Papaikou,"1,121"
Haliimaile,"1,107"
Leilani Estates,"1,013"
Mahinahina,919
Pahoa,918
Keaau,877
Halaula,863
Naalehu,793
Launiupoko,718
Kaumakani,648
Paauilo,624
Haena,586
Honalo,567
Kapalua,537
Maunaloa,453
Wainiha,449
Hanalei,441
Paukaa,437
Honomu,434
Kalihiwai,340
Kawela Bay,325
Maalaea,298
Pakala Village,283
Kukuihaele,263
Makena,226
Waiohinu,192
Volcano,184
Puako,117
Olowalu,106
Manele,1
Makaha Valley,-144
